Range,Freq Dev,FM Freq,Measured,Expected,Error
10,0.1,1,8.2e-05,4.5e-05,82.410162
10,0.1,1,8.1e-05,4.5e-05,80.754538
10,0.1,1,8.1e-05,4.5e-05,80.404686
10,0.1,1,8.1e-05,4.5e-05,81.429078
10,0.1,1,8.3e-05,4.5e-05,84.503672
10,0.2,1,0.000113,8.9e-05,26.374136
10,0.2,1,0.000113,8.9e-05,26.334876
10,0.2,1,0.000114,8.9e-05,27.128577
10,0.2,1,0.000112,8.9e-05,25.595
10,0.2,1,0.000113,8.9e-05,26.560544
10,0.3,1,0.000152,0.000134,13.453899
10,0.3,1,0.000153,0.000134,13.850582
10,0.3,1,0.000152,0.000134,13.186109
10,0.3,1,0.000152,0.000134,13.052391
10,0.3,1,0.000153,0.000134,13.768128
10,0.4,1,0.000195,0.000179,8.718614
10,0.4,1,0.000194,0.000179,8.396464
10,0.4,1,0.000195,0.000179,8.865234
10,0.4,1,0.000194,0.000179,8.576289
10,0.4,1,0.000194,0.000179,8.527762
10,0.5,1,0.000235,0.000224,5.117753
10,0.5,1,0.000234,0.000224,4.695253
10,0.5,1,0.000235,0.000224,5.147283
10,0.5,1,0.000235,0.000224,4.906738
10,0.5,1,0.000236,0.000224,5.48187
10,0.6,1,0.000279,0.000268,3.78957
10,0.6,1,0.000279,0.000268,3.795569
10,0.6,1,0.000278,0.000268,3.686306
10,0.6,1,0.000278,0.000268,3.376278
10,0.6,1,0.000278,0.000268,3.699169
10,0.7,1,0.000321,0.000313,2.35599
10,0.7,1,0.000321,0.000313,2.516421
10,0.7,1,0.000322,0.000313,2.709999
10,0.7,1,0.000322,0.000313,2.714353
10,0.7,1,0.000322,0.000313,2.756337
10,0.8,1,0.000364,0.000358,1.818009
10,0.8,1,0.000364,0.000358,1.724194
10,0.8,1,0.000364,0.000358,1.653511
10,0.8,1,0.000364,0.000358,1.756982
10,0.8,1,0.000365,0.000358,1.858824
10,0.9,1,0.000409,0.000403,1.521381
10,0.9,1,0.00041,0.000403,1.691773
10,0.9,1,0.000409,0.000403,1.64404
10,0.9,1,0.00041,0.000403,1.696284
10,0.9,1,0.00041,0.000403,1.750911
10,1.0,1,0.000451,0.000447,0.899678
10,1.0,1,0.000452,0.000447,0.975053
10,1.0,1,0.000452,0.000447,1.010261
10,1.0,1,0.000452,0.000447,1.048207
10,1.0,1,0.000452,0.000447,1.006648
10,2.0,1,0.000895,0.000895,0.03694
10,2.0,1,0.000894,0.000895,0.070026
10,2.0,1,0.000894,0.000895,0.093561
10,2.0,1,0.000894,0.000895,0.107992
10,2.0,1,0.000894,0.000895,0.127303
10,5,1,0.00224.002237,0.130083
10,5,1,0.00224,0.002237,0.12928
10,5,1,0.00224,0.002237,0.115705
10,5,1,0.00224,0.002237,0.109071
10,5,1,0.00224,0.002237,0.094844
10,10.0,1,0.004481,0.004475,0.137043
